,type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
1563,0.0,99.0,2,2,3,3.0,1300.0,0,0,0,2.0,2.0,0.95
1564,0.0,115.0,2,2,2,1.0,605.0,0,0,1,2.0,2.0,0.3
1565,0.0,105.0,3,3,0,4.0,1910.0,0,0,1,2.0,0.0,0.9
1566,0.0,50.0,3,4,3,2.0,2222.0,1,0,2,1.0,1.0,1.75
1567,0.0,11.0,3,4,3,3.0,2061.0,1,0,1,2.0,2.0,2.6
1568,1.0,42.0,5,5,3,0.0,1839.96,0,1,0,2.0,1.0,4.25
1569,0.0,101.0,4,4,3,3.0,2600.0,1,0,1,1.0,2.0,2.1
1570,0.0,102.0,2,2,1,3.0,668.0,0,0,1,2.0,1.0,0.41
1571,0.0,99.0,4,4,3,3.0,2167.0,1,0,1,1.0,2.0,1.4
1572,0.0,107.0,3,3,3,3.0,1700.0,1,0,1,2.0,0.0,1.25
1573,0.0,92.0,3,3,3,2.0,2176.0,1,0,1,2.0,2.0,1.1
1574,0.0,22.0,4,4,3,4.0,2060.0,0,0,1,2.0,0.0,2.37
1575,0.0,22.0,2,2,3,3.0,1424.0,0,0,1,2.0,2.0,1.75
1576,0.0,64.0,4,4,3,3.0,2477.0,0,0,1,1.0,0.0,7.4
1577,0.0,100.0,3,3,3,1.0,1561.0,0,0,1,2.0,2.0,0.84
1578,0.0,37.0,3,3,2,2.0,1608.0,1,0,1,2.0,0.0,2.35
1579,1.0,49.0,3,2,3,0.0,1452.6,0,1,0,2.0,1.0,3.5
1580,1.0,87.0,5,5,3,3.0,3653.0,1,0,0,1.0,0.0,3.09
1581,0.0,102.0,3,3,1,3.0,1746.0,0,0,0,1.0,2.0,1.72
1582,1.0,61.0,5,5,3,0.0,3238.76,0,0,1,1.0,1.0,11.29
1583,0.0,16.0,3,2,3,3.0,1477.0,0,0,1,2.0,0.0,1.35
1584,0.0,33.0,3,4,3,2.0,3700.0,1,0,2,2.0,2.0,5.8
1585,1.0,16.0,4,5,3,3.0,5401.52,1,1,1,0.0,1.0,5.7
1586,0.0,81.0,2,2,2,1.0,1460.0,0,0,1,1.0,2.0,1.32
1587,1.0,65.0,9,9,3,3.0,60.0,1,0,2,1.0,0.0,2.0
1588,0.0,111.0,2,2,3,1.0,1250.0,0,0,1,1.0,2.0,0.6
1589,1.0,30.0,3,3,2,2.0,1560.2,0,0,1,1.0,1.0,2.55
1590,0.0,109.0,2,2,3,0.0,905.0,0,0,1,1.0,1.0,0.5
1591,1.0,79.0,3,3,3,0.0,278.0,0,0,1,1.0,1.0,1.85
1592,0.0,9.0,3,4,3,3.0,1186.0,1,0,0,1.0,0.0,2.2
1593,0.0,67.0,3,4,3,2.0,1900.0,1,0,0,2.0,2.0,1.54
1594,0.0,13.0,4,5,3,3.0,1535.0,1,0,1,1.0,0.0,1.32
1595,0.0,43.0,3,4,3,1.0,129.42,1,0,1,2.0,1.0,1.62
1596,1.0,44.0,3,1,0,1.0,1081.0,0,0,1,1.0,1.0,0.75
1597,0.0,23.0,3,4,2,2.0,2000.0,1,0,0,1.0,1.0,1.15
1598,0.0,86.0,2,2,2,0.0,1086.0,0,0,1,1.0,2.0,0.82
1599,0.0,115.0,1,1,1,1.0,474.042156,0,0,1,2.0,1.0,0.2
1600,0.0,111.0,4,3,3,3.0,2824.0,1,0,1,1.0,2.0,1.1
1601,0.0,77.0,3,3,3,4.0,1828.0,0,0,1,2.0,0.0,3.0
1602,0.0,20.0,1,1,1,3.0,374.0,0,0,2,2.0,1.0,0.5
1603,0.0,92.0,3,3,2,0.0,2045.0,0,0,2,1.0,2.0,1.2
1604,0.0,21.0,3,5,3,3.0,3405.0,1,0,0,1.0,2.0,4.75
